"","Site","RCP","Period","Rgroup","GCM","M.Bmass","SD.Bmass","Med.Bmass","MAT","MAP","Site_Type"
"11717",27,"RCP45","Mid","shrub","CanESM2",8.28334321,0.72295584916254,8.2665115,6.68542371,489.62109983,"unn"
"11718",27,"RCP45","Mid","shrub","CCSM4",8.61807783,0.770510719636901,8.4703425,6.20371299,439.61679964,"unn"
"11719",27,"RCP45","Mid","shrub","CNRM-CM5",8.50338821,0.791699563480719,8.34001,5.57249622,508.83339906,"unn"
"11720",27,"RCP45","Mid","shrub","CSIRO-Mk3-6-0",8.87396759,1.10043847386596,8.6852095,6.01942715,497.55670019,"unn"
"11721",27,"RCP45","Mid","shrub","GFDL-ESM2G",8.38803531,0.703250274814335,8.3869975,5.630406,459.38360106,"unn"
"11722",27,"RCP45","Mid","shrub","GFDL-ESM2M",8.64331041,0.999503345368564,8.586184,5.04251746,475.66900021,"unn"
"11723",27,"RCP45","Mid","shrub","HadGEM2-CC365",8.49917402,0.984880514656289,8.556967,6.26076992,450.94740047,"unn"
"11724",27,"RCP45","Mid","shrub","HadGEM2-ES365",8.3578647,0.919393488785889,8.3248605,6.61053997,426.66820039,"unn"
"11725",27,"RCP45","Mid","shrub","inmcm4",8.402245,0.841417331252729,8.3773505,5.01024604,415.35339937,"unn"
"11726",27,"RCP45","Mid","shrub","IPSL-CM5A-LR",8.6824587,0.837661077344175,8.767371,6.43043213,428.85439814,"unn"
"11727",27,"RCP45","Mid","shrub","IPSL-CM5A-MR",8.7662868,0.933989679312141,8.7195625,6.33531936,430.6529996,"unn"
"11728",27,"RCP45","Mid","shrub","MIROC-ESM",8.95216473,1.1510775701425,9.0786535,7.32602999,504.27299954,"unn"
"11729",27,"RCP45","Mid","shrub","MIROC-ESM-CHEM",8.67182117,1.00015317613487,8.718983,7.11130438,516.33169708,"unn"
"11730",27,"historical","historical","shrub","MIROC-ESM-CHEM",7.46868944,0.668337908443848,7.4965585,2.34393009,241.51879966,"unn"
"11731",27,"historical","historical","shrub","MIROC5",6.86879849,0.818958532015794,6.983164,2.61744689,237.28420014,"unn"
"11732",27,"historical","historical","shrub","MRI-CGCM3",7.62404714,0.720784255073023,7.720702,2.53929581,235.9817999,"unn"
"11733",27,"historical","historical","shrub","NorESM1-M",7.19728623,0.553910048846096,7.1300905,2.46049225,229.73939932,"unn"
"11734",27,"RCP85","Late","a.forb","CCSM4",6.549895705,0.152856788975288,6.559919,9.58779551,435.76220099,"unn"
"11735",27,"RCP85","Late","a.forb","CNRM-CM5",5.864565485,0.137836343374998,5.864661,9.06016433,534.86039887,"unn"
"11736",27,"RCP85","Late","a.forb","CSIRO-Mk3-6-0",5.97817821,0.115595707651421,5.98374075,9.28071011,524.47950013,"unn"
"11737",27,"RCP85","Late","a.forb","GFDL-ESM2G",5.98748519,0.111416300393211,5.99021025,8.28131288,606.80149662,"unn"
"11738",27,"RCP85","Late","a.forb","GFDL-ESM2M",6.286818825,0.260934684418123,6.25600925,7.86864568,521.41100068,"unn"
"11739",27,"RCP85","Late","a.forb","HadGEM2-CC365",5.95708966,0.142815681625697,5.976679,10.99730646,417.1116007,"unn"
"11740",27,"RCP85","Late","a.forb","HadGEM2-ES365",6.294629105,0.139293838584525,6.29190925,10.89958211,444.19440127,"unn"
"11741",27,"RCP85","Late","a.forb","inmcm4",6.473991825,0.152265767341543,6.4672255,8.12282893,408.51009761,"unn"
"11742",27,"RCP85","Late","a.forb","IPSL-CM5A-LR",5.96016619,0.189020122485209,5.917872,10.3448553,417.66670015,"unn"
"11743",27,"RCP85","Late","a.forb","IPSL-CM5A-MR",5.514188835,0.0917982434060398,5.5187505,10.57494222,368.15529877,"unn"
"11744",27,"RCP85","Late","a.forb","MIROC-ESM",6.86438068,0.204741812277267,6.851981,11.80694826,528.36650053,"unn"
"11745",27,"RCP85","Late","a.forb","MIROC-ESM-CHEM",6.39649173,0.0862736493169509,6.4066855,12.22190614,505.70879916,"unn"
"11746",27,"RCP85","Late","a.forb","MIROC5",6.733267285,0.112259986018211,6.73627375,10.07077891,504.52330232,"unn"
"11747",27,"RCP85","Late","a.forb","MRI-CGCM3",6.63675676,0.221299592638932,6.59753575,7.43985006,497.37340032,"unn"
"11748",27,"RCP85","Late","a.forb","NorESM1-M",6.29241504,0.255293792742638,6.35824675,9.23415017,520.9374994,"unn"
"11749",27,"RCP85","Late","p.cool.grass","bcc-csm1-1",69.62546196,5.30310092997416,67.855221,9.0188979,379.91759913,"unn"
"11750",27,"RCP85","Late","p.cool.grass","CanESM2",69.9925742,3.8098455934136,70.034962,10.20068191,611.84229922,"unn"
"11751",27,"RCP85","Late","p.cool.grass","CCSM4",67.86750629,6.00185728172815,66.7023925,9.58779551,435.76220099,"unn"
"11752",27,"RCP85","Late","p.cool.grass","CNRM-CM5",70.57138031,5.49880237757188,69.293335,9.06016433,534.86039887,"unn"
"11753",27,"RCP85","Late","p.cool.grass","CSIRO-Mk3-6-0",71.00334729,3.80436190845666,70.7231635,9.28071011,524.47950013,"unn"
"11754",27,"RCP85","Late","p.cool.grass","GFDL-ESM2G",72.16917282,4.24718594633943,71.7458725,8.28131288,606.80149662,"unn"
"11755",27,"RCP85","Late","p.cool.grass","GFDL-ESM2M",71.81887497,4.93309719805715,72.2317505,7.86864568,521.41100068,"unn"
"11756",27,"RCP85","Late","p.cool.grass","HadGEM2-CC365",73.02381341,3.51784652215507,72.778084,10.99730646,417.1116007,"unn"
"11757",27,"RCP85","Late","p.cool.grass","HadGEM2-ES365",71.8274674,5.09608988867754,72.372013,10.89958211,444.19440127,"unn"
"11758",27,"RCP85","Late","p.cool.grass","inmcm4",70.95964509,2.69474286576664,70.868286,8.12282893,408.51009761,"unn"
"11759",27,"RCP85","Late","p.cool.grass","IPSL-CM5A-LR",67.09591978,2.53433239928125,67.3043705,10.3448553,417.66670015,"unn"
"11760",27,"RCP85","Late","p.cool.grass","IPSL-CM5A-MR",69.10738038,4.7922207678629,70.9955865,10.57494222,368.15529877,"unn"
"11761",27,"RCP85","Late","p.cool.grass","MIROC-ESM",70.9073926,5.62763148904542,72.084938,11.80694826,528.36650053,"unn"
"11762",27,"RCP85","Late","p.cool.grass","MIROC-ESM-CHEM",71.94902455,4.61288210779306,71.7932285,12.22190614,505.70879916,"unn"
"11763",27,"RCP85","Late","p.cool.grass","MIROC5",71.4184377,5.02897168012441,71.2686465,10.07077891,504.52330232,"unn"
"11764",27,"RCP85","Late","p.cool.grass","MRI-CGCM3",69.89602679,4.54921889519517,69.7739445,7.43985006,497.37340032,"unn"
"11765",27,"RCP85","Late","p.cool.grass","NorESM1-M",70.06496389,4.35295602341883,70.2108115,9.23415017,520.9374994,"unn"
