"","Site","RCP","Period","Rgroup","Median_Biomass","Percent_Change"
"331","16","RCP85","Late","a.forb",0.488765965,8.39005058297978
"332","16","RCP85","Late","p.cool.grass",3.13030723,4.71612728426824
"333","16","RCP85","Late","p.forb",-0.764994824999999,-4.36444875377498
"334","16","RCP85","Late","p.warm.grass",11.18616428,32.7631098274714
"335","16","RCP85","Late","sagebrush",209.17176145,48.2115598490235
"336","16","RCP85","Late","shrub",0.34096969,4.53134276103594
"337","19","RCP45","Mid","a.forb",0.1644173,2.7585132117567
"338","19","RCP45","Mid","p.cool.grass",3.61394354000001,5.32365757976612
"339","19","RCP45","Mid","p.forb",1.04270816,5.95113034952043
"340","19","RCP45","Mid","p.warm.grass",5.73479124,15.6169066026522
"341","19","RCP45","Mid","sagebrush",215.83703311,44.0689748964689
"342","19","RCP45","Mid","shrub",0.56682789,7.10796159192017
"343","19","RCP45","Late","a.forb",-0.00600541999999926,-0.100756005676689
"344","19","RCP45","Late","p.cool.grass",3.50907747000001,5.16918060959858
"345","19","RCP45","Late","p.forb",0.948492049999999,5.4134033294933
"346","19","RCP45","Late","p.warm.grass",5.87170887,15.989758856637
"347","19","RCP45","Late","sagebrush",222.51666387,45.432802391865
"348","19","RCP45","Late","shrub",0.57447195,7.20381729317427
"349","19","RCP85","Mid","a.forb",0.20838114,3.49611706171384
"350","19","RCP85","Mid","p.cool.grass",3.83593656000001,5.65067287773566
"351","19","RCP85","Mid","p.forb",1.075404755,6.13774219959982
"352","19","RCP85","Mid","p.warm.grass",6.72211776,18.3055809421146
"353","19","RCP85","Mid","sagebrush",241.55988768,49.3209921984911
"354","19","RCP85","Mid","shrub",0.52719103,6.61091957356727
"355","19","RCP85","Late","a.forb",0.539377170000001,9.04940690283164
"356","19","RCP85","Late","p.cool.grass",2.75526203000001,4.05874398089001
"357","19","RCP85","Late","p.forb",-2.10034687,-11.9874750021878
"358","19","RCP85","Late","p.warm.grass",8.01935588,21.8382023948599
"359","19","RCP85","Late","sagebrush",173.4217926,35.4087549966232
"360","19","RCP85","Late","shrub",-0.84292698,-10.5702148823927
"361","20","RCP45","Mid","a.forb",0.125573640000001,2.05028916374343
"362","20","RCP45","Mid","p.cool.grass",5.85642202000001,8.99062028388511
"363","20","RCP45","Mid","p.forb",1.29025971,7.38242676481282
"364","20","RCP45","Mid","p.warm.grass",8.45477955,24.5088512725425
"365","20","RCP45","Mid","sagebrush",279.32108828,63.0112928547051
"366","20","RCP45","Mid","shrub",0.869497450000001,11.5126056079103
"367","20","RCP45","Late","a.forb",-0.10765408,-1.75770960893358
"368","20","RCP45","Late","p.cool.grass",6.05140917,9.28995926934416
"369","20","RCP45","Late","p.forb",1.25027352,7.15363939976451
"370","20","RCP45","Late","p.warm.grass",8.23789819,23.8801520894838
"371","20","RCP45","Late","sagebrush",288.46275511,65.0735368812923
"372","20","RCP45","Late","shrub",1.16613489,15.4402420319851
"373","20","RCP85","Mid","a.forb",0.0614862550000002,1.00390975642392
"374","20","RCP85","Mid","p.cool.grass",6.32891577000001,9.71597987686726
"375","20","RCP85","Mid","p.forb",1.182794225,6.76754584850677
"376","20","RCP85","Mid","p.warm.grass",8.97135605,26.0063115592972
"377","20","RCP85","Mid","sagebrush",289.88685429,65.3947955840909
"378","20","RCP85","Mid","shrub",0.934236569999999,12.3697857594601
"379","20","RCP85","Late","a.forb",0.34969329,5.70957697109668
"380","20","RCP85","Late","p.cool.grass",5.72196557000001,8.7842063877313
"381","20","RCP85","Late","p.forb",-1.2716806,-7.276123423038
"382","20","RCP85","Late","p.warm.grass",10.02071145,29.0481999111513
"383","20","RCP85","Late","sagebrush",231.34186158,52.1877881807386
"384","20","RCP85","Late","shrub",0.00299762000000037,0.0396900724923211
"385","21","RCP45","Mid","a.forb",0.2411653,4.13771284977331
"386","21","RCP45","Mid","p.cool.grass",4.79435973000001,7.17346829839534
"387","21","RCP45","Mid","p.forb",1.10872867,6.24352291546328
"388","21","RCP45","Mid","p.warm.grass",9.08008347000001,26.8832779407941
"389","21","RCP45","Mid","sagebrush",275.67778627,62.5509468018363
"390","21","RCP45","Mid","shrub",0.7687225,9.83362522709131
"391","21","RCP45","Late","a.forb",0.603595825,10.3559931763484
"392","21","RCP45","Late","p.cool.grass",4.9393177,7.39035886584441
"393","21","RCP45","Late","p.forb",1.180208055,6.64604085362639
"394","21","RCP45","Late","p.warm.grass",9.79259295,28.9927949347266
"395","21","RCP45","Late","sagebrush",297.57641905,67.5197193409235
"396","21","RCP45","Late","shrub",0.75129915,9.61074285523354
"397","21","RCP85","Mid","a.forb",0.27664971,4.74652472786532
"398","21","RCP85","Mid","p.cool.grass",4.81936874,7.21088754736963
"399","21","RCP85","Mid","p.forb",0.765932775000003,4.31315520362335
"400","21","RCP85","Mid","p.warm.grass",9.44250974000001,27.9563084015433
"401","21","RCP85","Mid","sagebrush",268.19708252,60.8535844258622
"402","21","RCP85","Mid","shrub",0.864949460000001,11.0645763978744
